tweet_original_text,tweet_full_text,tweet_id,tweet_emotion,created_at
Fantastic look &amp; feel to this years @Jisc #digifest20 @ICC_Birmingham 👏👏👏👏 #exciting https://t.co/441EgHiRqB,Fantastic look  amp ; feel to this years  digifest20 👏👏👏👏,1237314900231442432,excitement,Tue Mar 10 09:50:35 +0000 2020
"No time to #read long-winded #novels ?
This mini #novel with a fast-paced and #exciting #plot would be perfect for impatient and time-starved #readers. I finished it within #hours and won't mind picking up another. #goodread #CrimeFiction #Thriller #goodbook https://t.co/SVMMSsKtBT",No time to  read longwinded  novels ? This mini  novel with a fastpaced and  exciting  plot would be perfect for impatient and timestarved  readers . I finished it within  hours and will not mind picking up another .,1237314230061162497,excitement,Tue Mar 10 09:47:55 +0000 2020
"101 Followers ! Thanks $XDB army ! To the 200 we go !

#exciting #Q1",101 Followers ! Thanks  XDB army ! To the 200 we go !,1237313373890588672,excitement,Tue Mar 10 09:44:31 +0000 2020
"Fell over yesterday morning and hurt my knees pretty badly. In the past I'd have wondered why so much blood, fluid, swelling and pain. Now as a student nurse I'm excited to see the stages of healing happening on myself! #exciting #studentnurse #timeschange","Fell over yesterday morning and hurt my knees pretty badly . In the past I would have wondered why so much blood , fluid , swelling and pain . Now as a student nurse I am excited to see the stages of healing happening on myself !",1237304423212298240,excitement,Tue Mar 10 09:08:57 +0000 2020
Sharing this with year one this morning #exciting #edutwitter #spacetopic https://t.co/uK2aDHxSI7,Sharing this with year one this morning,1237292323010215936,excitement,Tue Mar 10 08:20:52 +0000 2020
"@btstranslation7 @BTS_twt Check out my #exciting local #photography!!
https://t.co/4WuCRBV5sb",Check out my  exciting local  photography ! !,1237274970818043905,excitement,Tue Mar 10 07:11:55 +0000 2020
RT @StGregsPrimary: We are gathered in the Pugin room to find out lots of information #exciting @Romero_MAC_ @BhamDES https://t.co/alM27zYp…,We are gathered in the Pugin room to find out lots of information,1237274603548020736,excitement,Tue Mar 10 07:10:27 +0000 2020
"Our first session completed ✔️as we journey as a ‘Research School’. Time to engage in Professional Dialogue, time to stop ,✋🏻 discuss&amp; reflect within our own schools too &amp; map our journey forward #exciting #SEICResearchSchools @mideduteam https://t.co/NimiobVX6g","Our first session completed ✔️as we journey as a ‘ Research School ’ . Time to engage in Professional Dialogue , time to stop , ✋🏻 discuss  amp ; reflect within our own schools too  amp ; map our journey forward",1237260919111114752,excitement,Tue Mar 10 06:16:04 +0000 2020
"#exciting new photos just added!!!! #KzooCowboy #Kalamazoo #Photography

https://t.co/rXddSRwuud", exciting new photos just added ! ! ! !,1237257707469582336,excitement,Tue Mar 10 06:03:19 +0000 2020
"Play Mega888 https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

Who likes it? WOW https://t.co/DwbSeWzMvV",Play Mega888 ? Like and share to claim your bonus here with ! Who likes it ? WOW,1237242101341065216,excitement,Tue Mar 10 05:01:18 +0000 2020
"A new post from first Twitter .
#exciting",A new post from first Twitter .,1237204822018818048,excitement,Tue Mar 10 02:33:10 +0000 2020
#WOW This is #exciting or #WHAT! #Go @SamanthaCartel go https://t.co/fgY3NEkCsN, WOW This is  exciting or  WHAT !  Go go,1237204224984801280,excitement,Tue Mar 10 02:30:48 +0000 2020
@JoeSmithTB Hearing stories about Gordie Howe ... #exciting ! https://t.co/RmKi6bh9CR,Hearing stories about Gordie Howe ...  exciting !,1237182732968644608,excitement,Tue Mar 10 01:05:23 +0000 2020
"@UpYourJacksie1 @Matt_1269501 @tony80554056 @Bee42681881 @DrTeckKhong Mine.
He has blocked me.

You know like you keep doing.

Then appearing back.
It was different this time, your account was suspended or something and then appeared again under this new title.
#exciting","Mine . He has blocked me . You know like you keep doing . Then appearing back . It was different this time , your account was suspended or something and then appeared again under this new title .",1237138272264040460,excitement,Mon Mar 09 22:08:43 +0000 2020
"This SATURDAY, at 9:00 am PDT. The first look at my new film ""A Spark In Nothing"" premieres on YouTube. I can't wait for all of you to see it! Stay tuned for links on the video.
##saturday #asparkinnothing #premiere #firstlook #sneakpeek #exciting https://t.co/1SGSry3rdl","This SATURDAY , at 9:00 am PDT . The first look at my new film  A Spark In Nothing  premieres on YouTube . I can not wait for all of you to see it ! Stay tuned for links on the video . ",1237132585085493248,excitement,Mon Mar 09 21:46:07 +0000 2020
@MissSmithHolm @MissCowieHolm @HolmElcc @ruthmackay111 @BSGInbhirNis @janconnel @AKellacher @chloemcd91 @klaird500 @Gems_Dunn1 @SuzanneDunbar5 @ParkPrimarySch1 @t_tfl #orangecog #exciting risky play #earlyyears #nursery #redcog #bodysensations https://t.co/yy1kpUhD4R, orangecog  exciting risky play,1237130091378900999,excitement,Mon Mar 09 21:36:13 +0000 2020
"Play Mega888 https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

Like to win more? https://t.co/fOfTCYS3zF",Play Mega888 ? Like and share to claim your bonus here with ! Like to win more ?,1237118993900634113,excitement,Mon Mar 09 20:52:07 +0000 2020
Thanks @DJDyno69! Looking forward to the release on @ffpresents on March 30. #techno #newmusic #excited #exciting https://t.co/LdjpDZEcnL,Thanks ! Looking forward to the release on on March 30 .,1237118199293976576,excitement,Mon Mar 09 20:48:57 +0000 2020
P7 have been hard at work preparing for The Big Reveal. Looking forward to inviting our parents and carers in on the 27th March to see what all of our children have been learning about this term. Our classrooms and corridors have been transformed #exciting #impressivework 😊 https://t.co/CQMhN7sWH4,P7 have been hard at work preparing for The Big Reveal . Looking forward to inviting our parents and carers in on the 27th March to see what all of our children have been learning about this term . Our classrooms and corridors have been transformed  exciting  impressivework 😊,1237115110155575297,excitement,Mon Mar 09 20:36:41 +0000 2020
Can’t wait for this in May can’t tell you wear it’s going to be but I know it’s going to awesome  look out for the live sometime in May #paranormal #exciting #ghosts #istherelifeafterdeath https://t.co/Wne0ysQcQo,can not wait for this in May can not tell you wear it is going to be but I know it is going to awesome look out for the live sometime in May,1237101073535504385,excitement,Mon Mar 09 19:40:54 +0000 2020
"With this recent report from the OCS &amp; @financialpost, we see that the OCS did $4.3 MM in sales last month on cannabis 2.0 products alone. $3.77 MM was directly from vape products sales, with the remaining revenue coming in from edible sales 👀 #exciting https://t.co/PrR2CkKire","With this recent report from the OCS  amp ; , we see that the OCS did  4.3 MM in sales last month on cannabis 2.0 products alone .  3.77 MM was directly from vape products sales , with the remaining revenue coming in from edible sales 👀",1237094682779422726,excitement,Mon Mar 09 19:15:31 +0000 2020
RT @StewardsDesTech: And the #transformation begins @StewardsDesTech with our new paint scheme and display boards. #exciting times @Steward…,And the  transformation begins with our new paint scheme and display boards .  exciting times …,1237087030045290503,excitement,Mon Mar 09 18:45:06 +0000 2020
Exciting @Follo_FC news coming soon....big announcement at 8pm #exciting #follofc https://t.co/h9KMI6rDSW,Exciting news coming soon ... .big announcement at 8pm,1237086431689965569,excitement,Mon Mar 09 18:42:43 +0000 2020
"Play 918KISS &amp; XE88 With https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

Look for more exciting different casino games? https://t.co/YHVKBDKIfY",Play 918KISS  amp ; XE88 With ? Like and share to claim your bonus here with ! Look for more exciting different casino games ?,1237075645018124290,excitement,Mon Mar 09 17:59:52 +0000 2020
"We have a countdown on the locked option on modern warfare. 😬

#CallofDuty #CallofDutyModernWarfare #countdown #Warzone #CoD #ModernWarfarebattleroyale #exciting #gamers #GamingNews https://t.co/jTNE3HR0WO",We have a countdown on the locked option on modern warfare . 😬,1237060586229374976,excitement,Mon Mar 09 17:00:01 +0000 2020
"RT @PasswordsFast: I Get It, Passwords Is Not An Exciting Topic, But, Neither is Being Hacked! https://t.co/c0aVKI7ibZ #exciting #Topic #St…","I Get It , Passwords Is Not An Exciting Topic , But , Neither is Being Hacked !  exciting  Topic  St…",1237050859936198656,excitement,Mon Mar 09 16:21:22 +0000 2020
"I Get It, Passwords Is Not An Exciting Topic, But, Neither is Being Hacked! https://t.co/c0aVKI7ibZ #exciting #Topic #Stop #cyberattacks #Hacking #ItsReal #StrongPasswords #StrongerTogether2020 #MondayMorning #mondaythoughts #MondayMotivation #MondayMood #MondayVibes https://t.co/kjKdlwnHEG","I Get It , Passwords Is Not An Exciting Topic , But , Neither is Being Hacked !",1237049872949424129,excitement,Mon Mar 09 16:17:27 +0000 2020
Orientation webinar! #exciting,Orientation webinar !,1237046737547616258,excitement,Mon Mar 09 16:05:00 +0000 2020
here we go round 2 of homestudy 😔 #exciting https://t.co/Nx3bNJgtTN,here we go round 2 of homestudy 😔,1237017580100968448,excitement,Mon Mar 09 14:09:08 +0000 2020
@AST_LLC  exciting to be kicking off a new #salesforce project this week in #cookcounty and also heading to #atlanta salesforce tower for some important meetings #exciting #Trailblazers,exciting to be kicking off a new  salesforce project this week in  cookcounty and also heading to  atlanta salesforce tower for some important meetings,1237004133808259076,excitement,Mon Mar 09 13:15:42 +0000 2020
Looking forward to starting the ⁦@ElevateAsuc⁩ at Pennine Acute #exciting times https://t.co/ENqTqKcKkU,Looking forward to starting the ⁦⁩ at Pennine Acute  exciting times,1237002291787575297,excitement,Mon Mar 09 13:08:23 +0000 2020
"What a weekend
We’ve had our first volunteers induction Thank you to #johnlewismk
listen in to #mkfm 3-3.30pm I’ve been talking about ALs pls and the launch of our service It’s also been recorded as a podcast so keep a look out on their website https://t.co/DjxDhVJzyO 
#exciting",What a weekend we have had our first volunteers induction Thank you to listen in to  mkfm 33.30pm I have been talking about ALs pls and the launch of our service it is also been recorded as a podcast so keep a look out on their website,1236990994673020929,excitement,Mon Mar 09 12:23:29 +0000 2020
"Only two more days and I'm off to Ghent (quarantine measures willing). Can't wait for the Belgian beer, Van Eyck and Milo Rau. #exciting https://t.co/k7UcrrLGiN","Only two more days and I am off to Ghent  quarantine measures willing  . can not wait for the Belgian beer , Van Eyck and Milo Rau .",1236986531723837440,excitement,Mon Mar 09 12:05:45 +0000 2020
"So final @ShropshireYHC
training session at Longlands Market Drayton today.. Then #exciting project plans to discuss!Bring it on!",So final training session at Longlands Market Drayton today.. Then  exciting project plans to discuss ! Bring it on !,1236979447221420033,excitement,Mon Mar 09 11:37:36 +0000 2020
Reflecting on what a great day of learning yesterday for our new ⁦@walthamwolves⁩ #Wildcats Centre. The 24th April is our launch date and we’ve had a great response so far from our local community #exciting ⁦@HampshireFA_WAG⁩ https://t.co/dn2HPhVMoI,Reflecting on what a great day of learning yesterday for our new ⁦⁩  Wildcats Centre . The 24th April is our launch date and we have had a great response so far from our local community  exciting ⁦⁩,1236976197306892288,excitement,Mon Mar 09 11:24:42 +0000 2020
@CryptoCompare @Bitstamp @cryptocom @bitfinex @OKEx @LMAX @financemagnates @Cointelegraph @newsbtc @financialit_net @TabbFORUM @CityAM @Cointelligence Delighted to be partnering with you @CryptoCompare #exciting #partners https://t.co/t6fAWePLWM,Delighted to be partnering with you,1236960211493158913,excitement,Mon Mar 09 10:21:10 +0000 2020
"Another day, another train journey 😁. Off to Leominster to visit @TheFetchTheatre and see their fabulous puppet making studio - #exciting
🚂🎭
#leominster #gobowenstation #puppetry #theatre #artsdevelopment @qubeoca https://t.co/YWhrgsLkr9","Another day , another train journey 😁 . Off to Leominster to visit and see their fabulous puppet making studio  🚂🎭",1236955584487927808,excitement,Mon Mar 09 10:02:47 +0000 2020
Looking forward to David Icke's new book about how the coronavirus was sent to earth from the moon by the nazi's. #exciting,Looking forward to David Icke s new book about how the coronavirus was sent to earth from the moon by the nazi s .,1236952589088051206,excitement,Mon Mar 09 09:50:53 +0000 2020
"What an exciting week we have for our 🔍#YoungExplorers! 🤩We have a poet, robotic engineer and one of our very own mentoring team showcasing the role of a mentor! Today at @StAlphegeJunior the pupils will experience the incredible @HoopGuy!! 😁👏🏻 @CareerEnt #exciting #BGT https://t.co/PEeBkkckHq","What an exciting week we have for our 🔍  YoungExplorers ! 🤩We have a poet , robotic engineer and one of our very own mentoring team showcasing the role of a mentor ! Today at the pupils will experience the incredible ! ! 😁👏🏻",1236934153427456000,excitement,Mon Mar 09 08:37:37 +0000 2020
I can’t wait till #BigShow next school year because volunteering for Big Bash was cool but I can only imagine the hype of enjoying the crowd #CSUN #exciting https://t.co/z62rctQKRW,I can not wait till  BigShow next school year because volunteering for Big Bash was cool but I can only imagine the hype of enjoying the crowd,1236925821241012224,excitement,Mon Mar 09 08:04:31 +0000 2020
"We have some exciting plans in the works for 2020. Happy new year to you and yours!
For more details visit our website:
https://t.co/fPZK2eG7ag

@softnomic  #Holi2020 #HappyHoli #Celebration #Party #Office  #plans #exciting #luxury #Holi https://t.co/xB181VqpvG",We have some exciting plans in the works for 2020 . Happy new year to you and yours ! For more details visit our website :,1236921102506405888,excitement,Mon Mar 09 07:45:46 +0000 2020
"It was an #amazing, #exciting &amp; #awesome #conference this year we had #nullcon2020, met a lot amount friends &amp; colleagues ⁦@MonkeyBanking⁩ ⁦@aseemjakhar⁩ ⁦@shipcod3⁩ @OJSeCGuY @OleksandrGor ⁦@PapaZours⁩ ⁦@CyberFrat⁩  ⁦#mitkat was fun to interact https://t.co/QH3e0X9ep2","It was an  amazing ,  exciting  amp ;  awesome  conference this year we had  nullcon2020 , met a lot amount friends  amp ; colleagues ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩ ⁦⁩ ⁦  mitkat was fun to interact",1236913475894407173,excitement,Mon Mar 09 07:15:28 +0000 2020
Are you a #hackathon wizz? Do you want to be up to date on all #EMEA #events? You can stay tuned here 💪We update this page everyday with #exciting content 😍 https://t.co/D6MdtoTcKf,Are you a  hackathon wizz ? Do you want to be up to date on all  EMEA  events ? You can stay tuned here 💪We update this page everyday with  exciting content 😍,1236909693290852353,excitement,Mon Mar 09 07:00:26 +0000 2020
No orchestra today so Year 7 and 8 pupils can get used to their brand new tutor rooms #exciting #newbuild,No orchestra today so Year 7 and 8 pupils can get used to their brand new tutor rooms,1236906463634866176,excitement,Mon Mar 09 06:47:36 +0000 2020
Combined 9 shots this period. #exciting,Combined 9 shots this period .,1236844794921414657,excitement,Mon Mar 09 02:42:33 +0000 2020
@karlie_moon_ Such an inspirational segment Karlie that would have captured the hearts and minds of many for sure! 👏🏼👏🏽  #brill 🌟🌟🌟 #girlsinSTEMM #womeninSTEMM #peopleinSTEMM  #astrophysics #coding #imaging #dataanalysis #discovery #exciting,Such an inspirational segment Karlie that would have captured the hearts and minds of many for sure ! 👏🏼👏🏽  brill 🌟🌟🌟,1236819521245024256,excitement,Mon Mar 09 01:02:07 +0000 2020
Tomorrow I'm waiting for my stuff to be delivered so I will have so much unpacking to do. But I think on Tuesday I'm going to start pitching and writing. #exciting #journalism,Tomorrow I am waiting for my stuff to be delivered so I will have so much unpacking to do . But I think on Tuesday I am going to start pitching and writing .,1236805259349110786,excitement,Mon Mar 09 00:05:27 +0000 2020
#subscribe to our #weekly #newsletter &amp; #FindYourRoute #InsideOasis this week; SINGLES &amp; COUPLES welcome. #exciting #events &amp; great #articles from our sex-positive #community &amp; beyond. https://t.co/lPXG2p8MUY https://t.co/lbTGy2WAEg, subscribe to our  weekly  newsletter  amp ;  FindYourRoute  InsideOasis this week ; SINGLES  amp ; COUPLES welcome .  exciting  events  amp ; great  articles from our sexpositive  community  amp ; beyond .,1236800018377572353,excitement,Sun Mar 08 23:44:37 +0000 2020
"Play Online Casino Singapore &amp; Malaysia With https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

Check it out! https://t.co/iNDg7MZOWx",Play Online Casino Singapore  amp ; Malaysia With ? Like and share to claim your bonus here with ! Check it out !,1236785710587314177,excitement,Sun Mar 08 22:47:46 +0000 2020
"RT @ZooWildlife: The new exhibit is almost complete! Keep your eye out for what's coming next.
#alwaysimproving #newexhibit #exciting https…",The new exhibit is almost complete ! Keep your eye out for what is coming next .,1236776952855396353,excitement,Sun Mar 08 22:12:58 +0000 2020
‘The Worm’ Supermoon is making an early appearance 😳 🌓 ready for tomorrow #exciting #witchesbroom 🧹 🧙🏻‍♀️🤣 #supermoon https://t.co/YUXKSwCnAR,‘ The Worm ’ Supermoon is making an early appearance 😳 🌓 ready for tomorrow  exciting  witchesbroom 🧹 🧙🏻‍♀️🤣,1236761474586087424,excitement,Sun Mar 08 21:11:28 +0000 2020
Guys! I just got a love letter from a guy I don't know! Wrote him a text. Let's see. #exciting 😯😄💕,Guys ! I just got a love letter from a guy I do not know ! Wrote him a text . let us see .  exciting 😯😄💕,1236737963788242944,excitement,Sun Mar 08 19:38:02 +0000 2020
@delduduit @cyleyoung I am looking forward to working with you. :) #exciting,I am looking forward to working with you . : ,1236731339010904064,excitement,Sun Mar 08 19:11:43 +0000 2020
"The 3 basic levels of excitment to reading Hegel are thus: 
#1/3: Hegel is #exciting when the first level of clarity begins where the ordinary words on the page begin making sense and you’re not experiencing the pure unmitigated frustration of negation.",The 3 basic levels of excitment to reading Hegel are thus :  13 : Hegel is  exciting when the first level of clarity begins where the ordinary words on the page begin making sense and you are not experiencing the pure unmitigated frustration of negation .,1236715757729275904,excitement,Sun Mar 08 18:09:48 +0000 2020
#WoldsChallenge2020 route has been revealed #exciting #favouriteeventoftheyear #skillsforlife https://t.co/LMZ26DTb8H, WoldsChallenge2020 route has been revealed,1236703754289704960,excitement,Sun Mar 08 17:22:06 +0000 2020
"Monkey business 🐒
#sundaze #actorslife #rockclimbing #chillbro #upsidedown #firsttime #exciting @ Fit Rock Arena - Chennai https://t.co/b4XljMvRiS",Monkey business 🐒  sundaze  actorslife  rockclimbing  chillbro  upsidedown  firsttime  exciting  Fit Rock Arena  Chennai,1236699249280200706,excitement,Sun Mar 08 17:04:12 +0000 2020
"RT @HEnglishdept: On Thursday, year 10 students had the #exciting opportunity to experience an engaging adaptation of #DrJekyllandMrHyde. T…","On Thursday , year 10 students had the  exciting opportunity to experience an engaging adaptation of  DrJekyllandMrHyde . T…",1236693004963864577,excitement,Sun Mar 08 16:39:23 +0000 2020
"Teaser alert 🚨 

What do you think this could be, coming out 14th March? Exciting stuff people. Be first to see, smell and try by getting in touch 💚 #newproducts #teaser #tropic #exciting #veganskincare https://t.co/albH5IjyKa","Teaser alert 🚨 What do you think this could be , coming out 14th March ? Exciting stuff people . Be first to see , smell and try by getting in touch 💚",1236689181478445058,excitement,Sun Mar 08 16:24:12 +0000 2020
"Play 918KISS &amp; XE88 With https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

Check it out! https://t.co/AWxunPA6jd",Play 918KISS  amp ; XE88 With ? Like and share to claim your bonus here with ! Check it out !,1236685235779231745,excitement,Sun Mar 08 16:08:31 +0000 2020
Watch out! Tune in! This will change the way you see things. #exciting #technology #topsecret https://t.co/PgaJ7fM8BS,Watch out ! Tune in ! This will change the way you see things .,1236667820584456194,excitement,Sun Mar 08 14:59:19 +0000 2020
RT @Hobbycraft_LTN: Good Morning #crafters. Sure to be a busy #exciting day but don’t forget we are always on hand for help and support @Ho…,Good Morning  crafters . Sure to be a busy  exciting day but do not forget we are always on hand for help and support …,1236660574798430213,excitement,Sun Mar 08 14:30:31 +0000 2020
Proud to be at the NODA @nodatweets awards in Stevenage. We have an individual winner (Esme for ‘We Will Rock You’) and our 4-16 Theatre Company nominated for best youth production #exciting #awards #theatre https://t.co/LK5fLO2c18,Proud to be at the NODA awards in Stevenage . We have an individual winner  Esme for ‘ We Will Rock You ’  and our 416 Theatre Company nominated for best youth production,1236659903227465728,excitement,Sun Mar 08 14:27:51 +0000 2020
RT @Sed_Equestrian: Kate looking great on her super new grey #exciting #BEtraining https://t.co/t8IECCrbFJ,Kate looking great on her super new grey,1236652514902249473,excitement,Sun Mar 08 13:58:30 +0000 2020
"Great start to our 12 week spring
session @StRitaOCSB. Students learnt basic robotic and coding concepts, then dived into their projects. Snail, Cooling fan, Mars Rover were built by them whilst slightly older students were introduced to EV3 mindstorms. Lots of energy #exciting","Great start to our 12 week spring session . Students learnt basic robotic and coding concepts , then dived into their projects . Snail , Cooling fan , Mars Rover were built by them whilst slightly older students were introduced to EV3 mindstorms . Lots of energy",1236650623740895234,excitement,Sun Mar 08 13:50:59 +0000 2020
"On Thursday, year 10 students had the #exciting opportunity to experience an engaging adaptation of #DrJekyllandMrHyde. This enabled students to adsorb real influences of Stevenson's novel. #MargateTheatre #GCSEenglish

#HoHAcademy https://t.co/8bLuk2dI5K","On Thursday , year 10 students had the  exciting opportunity to experience an engaging adaptation of  DrJekyllandMrHyde . This enabled students to adsorb real influences of Stevenson s novel .",1236646256577052672,excitement,Sun Mar 08 13:33:38 +0000 2020
@BrynLaw @YouTube Sounds sooooo much better when you’re commentating  Bryn #passion #exciting #thevoiceofLUFC,Sounds sooooo much better when you are commentating Bryn,1236643177941078017,excitement,Sun Mar 08 13:21:23 +0000 2020
The results are in! #exciting #HardWorkPaysOff #Excellence https://t.co/TvXtsbNB8m,The results are in !,1236643065433075712,excitement,Sun Mar 08 13:20:57 +0000 2020
"Play Online Casino Singapore &amp; Malaysia With https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

Like and share! https://t.co/U3cYEL8GXR",Play Online Casino Singapore  amp ; Malaysia With ? Like and share to claim your bonus here with ! Like and share !,1236641900712648711,excitement,Sun Mar 08 13:16:19 +0000 2020
recruiters@careerpointstaffing.com. #constructionjobs #engineerjobs #architecturejobs #mechanicalengineers #womeninconstruction #womeninarchitecture #architecture #architecture #architect #architects #exciting #opportunity2020 #construction #recruiting #h…https://t.co/s0XE8Kcu6p,recruiters.com .  constructionjobs  engineerjobs  architecturejobs  mechanicalengineers  womeninconstruction  womeninarchitecture  architecture  architecture  architect  architects  exciting  opportunity2020  construction  recruiting  h…,1236623708351070210,excitement,Sun Mar 08 12:04:02 +0000 2020
"Preparation in full swing at My Science Fair 2020... #exciting Virtual reality, melon drums, Lego and so many experiments from our young scientists! Who will win the prizes sponsored by @ABDynamics @hitachi_infocon? Free day opens at 10am @BBCWiltshire https://t.co/6u0i24bIuG","Preparation in full swing at My Science Fair 2020 ...  exciting Virtual reality , melon drums , Lego and so many experiments from our young scientists ! Who will win the prizes sponsored by ? Free day opens at 10am",1236585707730157570,excitement,Sun Mar 08 09:33:02 +0000 2020
28th not missing @GRUPODUELO  #activitycenter #exciting #oneofmybestmexicangroups #VIP,28th not missing,1236519874677088256,excitement,Sun Mar 08 05:11:26 +0000 2020
"Play Mega888 https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

That's really out of sight! https://t.co/lv8F1p3NR9",Play Mega888 ? Like and share to claim your bonus here with ! that is really out of sight !,1236514718417850369,excitement,Sun Mar 08 04:50:56 +0000 2020
New #exciting photos just added!! #KzooCowboy #Kalamazoo #photography https://t.co/rXddSRwuud,New  exciting photos just added ! !,1236495629179912192,excitement,Sun Mar 08 03:35:05 +0000 2020
"Play Kiss918 &amp; SCR888 With https://t.co/B7QPy6Scg7 ? Like and share to claim your bonus here with https://t.co/EKkaEQFKgG !
#exciting #casino #slot #poker #scr888 #games #lpe88 #mega888 #918kiss #blackjack #kiss918 #xe88 #slots

Look for more exciting different casino games? https://t.co/S9fsU7kssh",Play Kiss918  amp ; SCR888 With ? Like and share to claim your bonus here with ! Look for more exciting different casino games ?,1236469600029749248,excitement,Sun Mar 08 01:51:39 +0000 2020
"Watching my first #XFLfootball game. #NewYorkGuardians and #DallasRenegades
It's surprisingly #exciting to watch.  Good game.
#XFL who knew!",Watching my first  XFLfootball game .  NewYorkGuardians and it is surprisingly  exciting to watch . Good game .  XFL who knew !,1236445023001907200,excitement,Sun Mar 08 00:14:00 +0000 2020
@OscarandLuna Ooooooo the castle. #exciting Bit #twp to forget the iBone LuLu. Mum needs to up her game. 👍🏻,Ooooooo the castle .  exciting Bit  twp to forget the iBone LuLu . Mum needs to up her game . 👍🏻,1236408883486371842,excitement,Sat Mar 07 21:50:23 +0000 2020
